epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,8.73345,1.47677,2.41345,0.0188,0.87751,0.42161,0.48804,0.32992,1.83435,2.35658,0.03895,0.000606061,0.000606061,0.000606061
2,10.8929,1.44295,2.25243,0.01904,0.60691,0.23529,0.2804,0.13906,2.16601,5.63616,0.04169,0.00124753,0.00124753,0.00124753
3,12.9125,1.46986,2.18328,0.01845,0.80187,0.29412,0.37435,0.20623,2.0356,3.33824,0.03595,0.00186259,0.00186259,0.00186259
4,14.9265,1.43909,2.22883,0.01805,0.7845,0.39216,0.4047,0.21296,1.98423,3.127,0.03471,0.0018812,0.0018812,0.0018812
5,16.9733,1.39182,1.86305,0.01437,0.82656,0.39216,0.45641,0.25321,1.7616,2.66393,0.02944,0.0018416,0.0018416,0.0018416
6,18.9765,1.36298,1.74006,0.01542,0.65743,0.41398,0.5314,0.31915,1.46889,2.14614,0.02496,0.001802,0.001802,0.001802
7,21.0247,1.3874,1.74368,0.0171,0.76609,0.41176,0.60257,0.35487,1.47941,1.87036,0.02472,0.0017624,0.0017624,0.0017624
8,23.0906,1.30774,1.68135,0.01546,0.66238,0.52941,0.63211,0.3577,1.55136,1.73201,0.02629,0.0017228,0.0017228,0.0017228
9,25.2071,1.41313,1.67098,0.01823,0.7021,0.5098,0.593,0.30479,1.61869,1.87041,0.02426,0.0016832,0.0016832,0.0016832
10,27.2523,1.3077,1.58003,0.01609,0.64775,0.54902,0.61124,0.35959,1.43038,1.68948,0.02421,0.0016436,0.0016436,0.0016436
11,29.3497,1.26354,1.51083,0.01475,0.65728,0.45098,0.59865,0.35,1.39938,1.76224,0.02224,0.001604,0.001604,0.001604
12,31.3579,1.2689,1.41922,0.01502,0.85122,0.4902,0.67111,0.37031,1.62661,1.64079,0.02543,0.0015644,0.0015644,0.0015644
13,33.3719,1.23807,1.29557,0.01402,0.89109,0.52941,0.7041,0.37558,1.68368,1.51763,0.02967,0.0015248,0.0015248,0.0015248
14,35.3743,1.26781,1.31142,0.01597,0.76363,0.57014,0.68091,0.38405,1.56474,1.49084,0.02457,0.0014852,0.0014852,0.0014852
15,37.4069,1.1873,1.17464,0.01293,0.81978,0.60784,0.71973,0.43567,1.4499,1.44629,0.02359,0.0014456,0.0014456,0.0014456
16,39.4321,1.25639,1.20747,0.01622,0.60601,0.41176,0.56507,0.32044,1.41696,1.66525,0.02231,0.001406,0.001406,0.001406
17,41.4719,1.16377,1.15553,0.0152,0.82978,0.58824,0.75581,0.45307,1.42399,1.39346,0.02296,0.0013664,0.0013664,0.0013664
18,43.5123,1.16488,1.21309,0.01408,0.84934,0.56863,0.74233,0.44044,1.49873,1.18274,0.02676,0.0013268,0.0013268,0.0013268
19,45.5816,1.17734,1.08885,0.01502,0.79878,0.72549,0.78789,0.41617,1.58782,1.1728,0.02875,0.0012872,0.0012872,0.0012872
20,47.6456,1.19757,1.03259,0.01429,0.69295,0.70804,0.78351,0.49151,1.38999,1.09384,0.02252,0.0012476,0.0012476,0.0012476
