epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,19.6355,1.18344,0.8621,0.01215,0.76026,0.5234,0.61505,0.40637,1.80153,1.77089,0.03828,0.000320513,0.000320513,0.0682692
2,23.9184,1.15901,0.82926,0.01312,0.73225,0.62136,0.70225,0.49944,1.30005,1.48901,0.02188,0.000653403,0.000653403,0.0352688
3,28.0576,0.96283,0.72093,0.00995,0.82226,0.62884,0.75896,0.53199,1.2999,1.14323,0.02531,0.000984503,0.000984503,0.00226655
4,32.1583,1.04536,0.73799,0.0105,0.79946,0.85149,0.88461,0.66374,1.02934,0.7244,0.01877,0.000993906,0.000993906,0.000993906
5,36.185,0.97823,0.71257,0.01105,0.88938,0.85864,0.92849,0.69767,1.09388,0.61068,0.01967,0.000989183,0.000989183,0.000989183
6,40.2984,0.97051,0.67331,0.00976,0.80924,0.82373,0.89211,0.67479,1.031,0.63871,0.01888,0.000983133,0.000983133,0.000983133
7,44.4433,0.96179,0.61851,0.01046,0.79153,0.88473,0.90571,0.67156,1.08102,0.72144,0.02084,0.000975773,0.000975773,0.000975773
8,48.6813,0.94166,0.63166,0.0097,0.87612,0.81553,0.92331,0.69066,0.97553,0.60263,0.01664,0.000967122,0.000967122,0.000967122
9,52.8201,0.86288,0.60836,0.00822,0.91228,0.8078,0.92411,0.70302,1.05922,0.63768,0.02032,0.000957205,0.000957205,0.000957205
10,56.9397,0.93149,0.661,0.01027,0.84133,0.82369,0.91458,0.68164,0.99531,0.57144,0.01683,0.000946048,0.000946048,0.000946048
11,61.0358,0.92929,0.616,0.01044,0.85215,0.78641,0.90491,0.6869,0.96859,0.55622,0.01569,0.000933683,0.000933683,0.000933683
12,65.0754,0.86324,0.62517,0.00886,0.81673,0.9086,0.9317,0.68738,1.02664,0.59475,0.01658,0.000920142,0.000920142,0.000920142
13,69.123,0.86943,0.5357,0.00968,0.90571,0.87379,0.9415,0.7151,1.03898,0.4909,0.01727,0.000905463,0.000905463,0.000905463
14,73.251,0.86331,0.55449,0.00829,0.89765,0.82524,0.92144,0.69332,0.95813,0.62221,0.01504,0.000889687,0.000889687,0.000889687
