epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,20.4609,1.04368,0.57405,0.01007,0.78431,0.60194,0.65499,0.48512,1.8468,1.31364,0.0419,0.000160256,0.000160256,0.068109
2,24.547,0.9027,0.57327,0.00993,0.85573,0.74866,0.81188,0.63106,1.11672,0.92318,0.02105,0.000326604,0.000326604,0.034942
3,28.6142,0.77518,0.50256,0.0078,0.93273,0.86408,0.94482,0.70477,1.03016,0.55287,0.01878,0.000491663,0.000491663,0.00177371
4,32.6234,0.78526,0.51663,0.00754,0.89192,0.91262,0.95536,0.75801,0.76609,0.42487,0.01071,0.000495616,0.000495616,0.000495616
5,36.7135,0.72851,0.48151,0.00783,0.93826,0.88534,0.96596,0.77979,0.71056,0.37369,0.01004,0.000492224,0.000492224,0.000492224
6,40.8398,0.77392,0.46273,0.00761,0.92533,0.84466,0.93938,0.75646,0.80952,0.49269,0.0135,0.000487886,0.000487886,0.000487886
7,45.0815,0.706,0.45007,0.00721,0.94441,0.86408,0.96121,0.76839,0.80462,0.40956,0.01268,0.00048262,0.00048262,0.00048262
8,49.2084,0.73045,0.43961,0.00719,0.91834,0.8835,0.95784,0.78437,0.69565,0.40529,0.00957,0.000476445,0.000476445,0.000476445
9,53.3747,0.7003,0.41339,0.00635,0.89808,0.8932,0.95477,0.77934,0.71417,0.44598,0.01058,0.000469386,0.000469386,0.000469386
10,57.4763,0.70571,0.42252,0.00755,0.89559,0.93204,0.96658,0.78566,0.71556,0.3679,0.01056,0.000461471,0.000461471,0.000461471
11,61.5394,0.69315,0.39259,0.00727,0.90643,0.8932,0.95655,0.78803,0.71213,0.37915,0.01008,0.000452732,0.000452732,0.000452732
