epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,7.67514,1.71625,10.4082,0.00448,0,0,0,0,1.37589,15.0337,0.0036,0.000571429,0.000571429,0.000571429
2,9.32848,1.88211,10.9912,0.00433,0,0,0,0,1.3044,13.9952,0.00327,0.00122584,0.00122584,0.00122584
3,11.2483,1.78528,9.1162,0.00408,0,0,0,0,1.37605,13.9375,0.00322,0.00186705,0.00186705,0.00186705
4,13.0881,1.56204,10.2284,0.00378,0,0,0,0,1.27575,13.4796,0.00308,0.0019406,0.0019406,0.0019406
5,15.0979,1.32029,9.85598,0.00324,0,0,0,0,1.46044,13.7611,0.00387,0.0019208,0.0019208,0.0019208
6,16.976,1.88127,8.6751,0.0047,0,0,0,0,1.56762,13.7463,0.00414,0.001901,0.001901,0.001901
7,19.1081,1.72151,8.7063,0.00459,0,0,0,0,1.36907,12.9045,0.00343,0.0018812,0.0018812,0.0018812
8,21.0053,1.50505,6.88156,0.00336,0.00141,0.42308,0.24243,0.1588,1.46962,12.2785,0.00384,0.0018614,0.0018614,0.0018614
9,23.0457,1.55387,6.34428,0.00374,0.00154,0.46154,0.28943,0.16803,1.52894,12.205,0.00422,0.0018416,0.0018416,0.0018416
10,25.1411,1.42665,6.41085,0.00425,0.00269,0.80769,0.34654,0.22136,1.47664,11.4666,0.00371,0.0018218,0.0018218,0.0018218
11,27.2016,1.41645,5.78124,0.00318,0.00218,0.65385,0.06503,0.0346,1.51937,10.9286,0.00394,0.001802,0.001802,0.001802
12,29.3032,1.41647,5.46687,0.00296,0.29075,0.46154,0.36734,0.21216,1.42307,9.6116,0.00366,0.0017822,0.0017822,0.0017822
13,31.218,1.3623,4.95009,0.00291,0.77115,0.13166,0.53394,0.29978,1.39953,9.24992,0.00351,0.0017624,0.0017624,0.0017624
14,32.908,1.43866,5.18078,0.00307,0.76824,0.12942,0.57322,0.3174,1.55977,8.65762,0.00413,0.0017426,0.0017426,0.0017426
15,34.7675,1.42239,4.65361,0.00311,0.66829,0.15515,0.58451,0.35131,1.37138,7.97446,0.00354,0.0017228,0.0017228,0.0017228
16,36.4525,1.47163,4.3593,0.00311,0.71275,0.57278,0.69836,0.41135,1.35335,6.94963,0.00334,0.001703,0.001703,0.001703
17,38.0713,1.43971,4.47654,0.00293,0.80362,0.65385,0.71852,0.42738,1.37983,6.61155,0.00382,0.0016832,0.0016832,0.0016832
18,39.8698,1.23063,4.03773,0.00289,0.9241,0.57692,0.73964,0.46021,1.35314,6.07331,0.00342,0.0016634,0.0016634,0.0016634
19,41.6944,1.29422,3.99768,0.00288,0.79987,0.53846,0.75301,0.47758,1.32112,5.51853,0.00301,0.0016436,0.0016436,0.0016436
20,43.473,1.10288,3.80415,0.00282,0.77904,0.61538,0.81952,0.49751,1.46308,5.22662,0.00401,0.0016238,0.0016238,0.0016238
21,45.2634,1.45741,3.41291,0.00302,0.88429,0.65385,0.8388,0.51807,1.39551,5.08087,0.0037,0.001604,0.001604,0.001604
22,47.0664,1.24579,3.28657,0.0029,0.84909,0.73077,0.85511,0.54383,1.33044,4.52777,0.00348,0.0015842,0.0015842,0.0015842
23,48.7161,1.36898,3.25393,0.00286,0.85858,0.70082,0.84027,0.55547,1.3078,4.27786,0.00348,0.0015644,0.0015644,0.0015644
24,50.409,1.34244,3.26074,0.00344,0.76689,0.69231,0.81388,0.54526,1.29295,4.3042,0.00325,0.0015446,0.0015446,0.0015446
25,52.1555,1.16279,2.74329,0.00262,0.81768,0.69008,0.81153,0.55964,1.28708,4.16749,0.00308,0.0015248,0.0015248,0.0015248
26,53.9708,1.26663,2.78311,0.00275,0.60277,0.87563,0.76843,0.48984,1.41447,3.77022,0.00351,0.001505,0.001505,0.001505
27,56.0838,1.30781,3.10432,0.00337,0.68705,0.84615,0.80686,0.54227,1.29115,3.46423,0.00322,0.0014852,0.0014852,0.0014852
28,58.1565,1.19217,2.72506,0.00308,0.73887,0.80769,0.84178,0.56543,1.22855,3.47125,0.00298,0.0014654,0.0014654,0.0014654
29,60.1993,1.1095,2.66692,0.00268,0.7749,0.80769,0.8566,0.5655,1.23861,3.33639,0.00305,0.0014456,0.0014456,0.0014456
30,62.1751,1.14999,2.38488,0.00244,0.76752,0.76923,0.79085,0.54507,1.20931,3.07771,0.00291,0.0014258,0.0014258,0.0014258
31,64.0385,1.10196,2.46819,0.00254,0.73902,0.7626,0.78958,0.53579,1.23176,2.96377,0.0032,0.001406,0.001406,0.001406
32,65.9625,1.19641,2.30791,0.00261,0.73643,0.65385,0.78743,0.49596,1.38919,2.91293,0.00361,0.0013862,0.0013862,0.0013862
33,67.8888,1.07524,2.10974,0.00276,0.65335,0.73077,0.7828,0.51445,1.36144,2.844,0.0035,0.0013664,0.0013664,0.0013664
34,69.719,1.27935,1.79,0.00264,0.69742,0.76923,0.81109,0.53999,1.37221,2.69808,0.00342,0.0013466,0.0013466,0.0013466
35,71.7791,1.15501,1.85295,0.00265,0.88412,0.65385,0.82384,0.58983,1.2227,2.48306,0.00301,0.0013268,0.0013268,0.0013268
36,73.7874,1.0308,1.75523,0.00219,0.87706,0.76923,0.83743,0.57154,1.23112,2.46232,0.00301,0.001307,0.001307,0.001307
37,75.743,1.13325,2.00155,0.00267,0.9248,0.69231,0.83567,0.56765,1.22152,2.43232,0.00304,0.0012872,0.0012872,0.0012872
38,77.7729,1.15281,1.82311,0.00245,0.85993,0.69231,0.81557,0.54254,1.31867,2.39511,0.00347,0.0012674,0.0012674,0.0012674
39,79.5984,1.23512,1.95737,0.00228,0.72924,0.69231,0.83977,0.54388,1.35316,2.30814,0.00323,0.0012476,0.0012476,0.0012476
40,81.6311,1.23774,1.78126,0.00252,0.68209,0.8255,0.86382,0.55999,1.42926,2.07442,0.00338,0.0012278,0.0012278,0.0012278
41,83.4475,1.1319,1.52656,0.00238,0.6557,0.80578,0.85555,0.56339,1.36982,2.04639,0.00337,0.001208,0.001208,0.001208
42,85.2457,1.06772,1.58585,0.00242,0.68987,0.80769,0.85534,0.55446,1.43224,2.0079,0.00349,0.0011882,0.0011882,0.0011882
43,87.1657,0.97672,1.42359,0.00213,0.66304,0.84615,0.82831,0.53391,1.44559,1.98374,0.00361,0.0011684,0.0011684,0.0011684
44,89.31,1.03972,1.56775,0.00227,0.87496,0.65385,0.82976,0.53819,1.46239,1.94789,0.00354,0.0011486,0.0011486,0.0011486
45,91.4517,1.0105,1.47664,0.00239,0.84791,0.69231,0.83943,0.56536,1.26885,1.92642,0.00296,0.0011288,0.0011288,0.0011288
46,93.6252,1.06049,1.5562,0.00257,1,0.60499,0.84898,0.58232,1.12243,1.88475,0.00263,0.001109,0.001109,0.001109
47,95.471,0.93152,1.25747,0.00215,0.77711,0.80467,0.87086,0.54504,1.26929,1.85973,0.0029,0.0010892,0.0010892,0.0010892
48,97.4107,0.94448,1.23679,0.00215,0.75974,0.76923,0.85329,0.50983,1.31212,1.89768,0.00292,0.0010694,0.0010694,0.0010694
49,99.1063,0.93995,1.36119,0.00208,0.80758,0.73077,0.84594,0.53752,1.28059,1.89472,0.00294,0.0010496,0.0010496,0.0010496
50,100.993,0.96821,1.31048,0.002,0.79546,0.76923,0.8606,0.57917,1.21382,1.80272,0.00287,0.0010298,0.0010298,0.0010298
51,103.012,1.02442,1.36367,0.00233,0.93374,0.73077,0.88214,0.60126,1.22746,1.72361,0.00296,0.00101,0.00101,0.00101
52,104.949,0.82041,1.22559,0.00198,0.90562,0.76923,0.88574,0.59867,1.26782,1.64062,0.00302,0.0009902,0.0009902,0.0009902
53,106.682,0.87936,1.26595,0.00217,0.89891,0.76923,0.89502,0.5945,1.30332,1.58178,0.00311,0.0009704,0.0009704,0.0009704
54,108.391,1.08407,1.37831,0.00247,0.87416,0.80174,0.87921,0.61578,1.2061,1.46959,0.00282,0.0009506,0.0009506,0.0009506
55,110.286,1.06496,1.2596,0.00284,0.84158,0.81756,0.88145,0.60073,1.21521,1.4721,0.0028,0.0009308,0.0009308,0.0009308
56,112.144,0.83274,1.13444,0.00172,0.84233,0.82227,0.88666,0.6108,1.21985,1.47186,0.0029,0.000911,0.000911,0.000911
57,114.087,0.98736,1.18348,0.0026,0.76153,0.80769,0.90261,0.619,1.22011,1.47453,0.00293,0.0008912,0.0008912,0.0008912
58,115.824,0.90053,1.23439,0.00214,0.86832,0.80769,0.90427,0.64552,1.11671,1.46939,0.00254,0.0008714,0.0008714,0.0008714
59,117.685,0.87092,1.20296,0.00189,0.89676,0.73077,0.88437,0.6442,1.11742,1.31273,0.00257,0.0008516,0.0008516,0.0008516
60,119.411,0.93685,1.09332,0.00209,0.79058,0.84615,0.9125,0.63152,1.21167,1.29612,0.00282,0.0008318,0.0008318,0.0008318
61,121.22,0.91581,1.09306,0.00189,0.77125,0.84615,0.90946,0.6316,1.24184,1.28452,0.0029,0.000812,0.000812,0.000812
62,123.063,0.84885,1.00842,0.00193,0.78288,0.84615,0.89527,0.63725,1.19231,1.24175,0.00287,0.0007922,0.0007922,0.0007922
63,124.99,1.13759,1.18246,0.00342,0.90005,0.76923,0.90948,0.63879,1.2046,1.22468,0.00281,0.0007724,0.0007724,0.0007724
64,126.696,1.07342,1.41437,0.00291,0.91209,0.79846,0.89595,0.62953,1.18414,1.20865,0.00268,0.0007526,0.0007526,0.0007526
65,128.404,0.81593,1.06391,0.00171,0.84083,0.81286,0.89543,0.64618,1.14033,1.1768,0.00258,0.0007328,0.0007328,0.0007328
66,130.155,0.79903,0.97928,0.00181,0.93062,0.76923,0.87638,0.66838,1.08193,1.16936,0.00247,0.000713,0.000713,0.000713
67,132.017,0.94052,1.06239,0.00203,0.90343,0.76923,0.86758,0.65441,1.09012,1.16429,0.00251,0.0006932,0.0006932,0.0006932
68,134.126,0.87315,0.96968,0.00159,0.94883,0.71368,0.86425,0.6385,1.16352,1.18804,0.00266,0.0006734,0.0006734,0.0006734
69,136.243,0.86259,0.904,0.00191,0.84088,0.88462,0.92894,0.63329,1.20978,1.18342,0.00274,0.0006536,0.0006536,0.0006536
70,138.257,1.07905,1.08081,0.00201,0.85287,0.88462,0.92957,0.62681,1.29899,1.20924,0.00291,0.0006338,0.0006338,0.0006338
71,140.303,0.88904,0.98549,0.0017,0.91624,0.8416,0.92076,0.63255,1.25253,1.17081,0.00285,0.000614,0.000614,0.000614
72,142.148,0.7807,0.84231,0.0019,0.89795,0.84615,0.92076,0.64937,1.16152,1.12914,0.00267,0.0005942,0.0005942,0.0005942
73,144.173,1.00317,0.78603,0.00226,0.88284,0.84615,0.9221,0.65232,1.156,1.11451,0.00266,0.0005744,0.0005744,0.0005744
74,146.07,0.79863,0.96395,0.0018,0.88087,0.85338,0.92443,0.65547,1.12672,1.07454,0.00262,0.0005546,0.0005546,0.0005546
75,148.002,0.88427,0.91582,0.00179,0.8716,0.84615,0.8905,0.64584,1.17584,1.0608,0.00271,0.0005348,0.0005348,0.0005348
76,150.077,0.80245,0.93813,0.00185,0.91956,0.80769,0.88518,0.64434,1.15774,1.07687,0.00266,0.000515,0.000515,0.000515
77,151.975,0.87621,0.84583,0.00207,0.92366,0.76923,0.88008,0.6463,1.13005,1.04206,0.00258,0.0004952,0.0004952,0.0004952
78,153.985,0.87908,0.77436,0.00172,0.93582,0.76923,0.87847,0.66152,1.0965,1.06301,0.0025,0.0004754,0.0004754,0.0004754
