epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.4499,1.02581,2.33581,1.24615,0.56598,0.8,0.72919,0.5142,0.66503,2.63844,1.08496,0.0006,0.0006,0.0006
2,29.8945,0.96717,1.61647,1.20915,0.36996,0.48,0.36485,0.256,0.87102,2.55989,1.30461,0.00124159,0.00124159,0.00124159
3,45.1092,1.13345,1.82488,1.28828,0.5547,0.64,0.61289,0.34801,1.18671,2.8287,1.95339,0.00185677,0.00185677,0.00185677
4,58.6063,1.12012,1.68018,1.28151,0.3194,0.44,0.33928,0.17916,1.2223,2.77485,1.70433,0.0018812,0.0018812,0.0018812
5,71.895,1.05155,1.6644,1.22486,0.48093,0.48186,0.50079,0.27965,1.22656,4.0251,2.45044,0.0018416,0.0018416,0.0018416
6,85.0092,1.08447,1.62566,1.25955,0.20688,0.2,0.12859,0.06521,1.88568,5.62903,2.9887,0.001802,0.001802,0.001802
7,98.688,1.05279,1.44048,1.26908,0.06744,0.54102,0.05271,0.01946,1.89023,16.9794,3.55998,0.0017624,0.0017624,0.0017624
8,113.657,1.04513,1.40348,1.24777,0.04042,0.24,0.07337,0.03015,1.73258,24.9809,2.71812,0.0017228,0.0017228,0.0017228
9,126.713,0.99137,1.34492,1.20623,0.81073,0.64,0.77477,0.40575,1.18635,2.44694,1.82733,0.0016832,0.0016832,0.0016832
10,139.142,1.07346,1.51927,1.33555,0.68812,0.64,0.64602,0.42534,1.16971,2.32388,1.82448,0.0016436,0.0016436,0.0016436
11,151.439,1.0876,1.40485,1.24166,0.86472,0.51183,0.62654,0.38306,1.26298,2.42289,1.6817,0.001604,0.001604,0.001604
12,163.855,1.03205,1.30539,1.23927,0.8095,0.4,0.52245,0.32367,1.41937,2.7007,1.68976,0.0015644,0.0015644,0.0015644
13,176.44,1.04455,1.30445,1.26454,0.6572,0.6,0.60588,0.30977,1.69343,2.47649,1.96568,0.0015248,0.0015248,0.0015248
14,189.099,1.03926,1.31936,1.27826,0.74614,0.6,0.72494,0.49305,1.17299,1.88389,1.49413,0.0014852,0.0014852,0.0014852
15,201.929,0.99279,1.2079,1.207,0.91948,0.68,0.79211,0.56289,0.9336,1.71024,1.26688,0.0014456,0.0014456,0.0014456
16,214.398,0.95974,1.06026,1.1342,0.94516,0.68,0.86294,0.63764,0.8773,1.49987,1.23458,0.001406,0.001406,0.001406
17,227.035,0.87141,1.10675,1.11421,0.8243,0.76,0.88839,0.62377,0.93491,1.53877,1.33229,0.0013664,0.0013664,0.0013664
18,239.425,0.92685,1.06933,1.15192,0.82475,0.88,0.90436,0.64183,0.96035,1.63368,1.34382,0.0013268,0.0013268,0.0013268
19,251.686,0.82416,1.02237,1.11257,0.91694,0.8,0.92243,0.69655,0.84216,1.41148,1.21995,0.0012872,0.0012872,0.0012872
20,263.856,0.88587,1.02251,1.12508,0.95778,0.9077,0.95547,0.74872,0.75552,1.19946,1.11909,0.0012476,0.0012476,0.0012476
21,276.092,0.89191,0.993,1.15173,1,0.87285,0.93014,0.72566,0.75806,1.21393,1.12105,0.001208,0.001208,0.001208
22,288.485,0.82569,0.95347,1.11017,0.97265,0.88,0.91864,0.72998,0.74656,1.21208,1.11966,0.0011684,0.0011684,0.0011684
23,300.735,0.80167,0.92215,1.07261,0.87894,0.92,0.91472,0.69957,0.76938,1.23873,1.11643,0.0011288,0.0011288,0.0011288
24,313.383,0.80036,0.92194,1.05858,0.8974,0.84,0.90104,0.71275,0.75098,1.2662,1.09695,0.0010892,0.0010892,0.0010892
25,325.873,0.75837,0.86699,1.04144,0.80545,0.82832,0.9136,0.69436,0.7758,1.31417,1.14724,0.0010496,0.0010496,0.0010496
26,338.315,0.79147,0.90219,1.06473,0.69253,0.96,0.90393,0.68531,0.76034,1.27776,1.09885,0.00101,0.00101,0.00101
27,350.829,0.80954,0.93716,1.10394,0.88425,0.68,0.83996,0.6694,0.72412,1.21845,1.0628,0.0009704,0.0009704,0.0009704
28,363.2,0.78027,0.95844,1.09651,0.87951,0.87606,0.92622,0.74929,0.66687,1.07688,1.03048,0.0009308,0.0009308,0.0009308
29,376.389,0.79137,0.8835,1.06893,0.95347,0.84,0.92187,0.77988,0.66477,0.97698,1.01709,0.0008912,0.0008912,0.0008912
30,389.38,0.73381,0.81336,1.02569,0.9198,0.91765,0.97721,0.7968,0.7084,0.94972,1.04228,0.0008516,0.0008516,0.0008516
31,401.888,0.71756,0.80483,1.04987,0.93583,0.92,0.98085,0.78021,0.7011,0.94071,1.01751,0.000812,0.000812,0.000812
32,414.338,0.84371,0.86221,1.13863,0.99145,0.88,0.98476,0.75954,0.72079,0.96215,1.04892,0.0007724,0.0007724,0.0007724
33,426.576,0.79343,0.8621,1.08958,0.94293,0.96,0.98246,0.76414,0.72246,0.90201,1.02021,0.0007328,0.0007328,0.0007328
34,439.416,0.71292,0.73463,1.04792,0.92229,0.94981,0.98307,0.782,0.71351,0.8783,1.02562,0.0006932,0.0006932,0.0006932
35,451.577,0.73535,0.79098,1.04833,0.9151,0.92,0.97359,0.78306,0.6818,0.86791,1.01653,0.0006536,0.0006536,0.0006536
36,463.767,0.70206,0.77319,1.02557,0.92192,0.94492,0.97567,0.78314,0.6571,0.86606,0.99421,0.000614,0.000614,0.000614
37,476.498,0.67098,0.72886,1.02945,0.95579,0.88,0.95777,0.75402,0.69416,0.89788,1.0236,0.0005744,0.0005744,0.0005744
38,489.005,0.81943,0.83727,1.09694,0.88,0.88004,0.95183,0.75409,0.69742,0.9326,1.01714,0.0005348,0.0005348,0.0005348
39,501.905,0.70305,0.76929,1.06242,0.99455,0.8,0.93501,0.73507,0.72125,0.93073,1.03381,0.0004952,0.0004952,0.0004952
40,514.262,0.71549,0.77095,1.03034,0.98806,0.8,0.93235,0.74991,0.74147,0.92368,1.05078,0.0004556,0.0004556,0.0004556
41,526.972,0.63824,0.98904,1.02763,0.87118,0.92,0.94119,0.76304,0.70885,0.88751,1.05381,0.000416,0.000416,0.000416
42,539.411,0.64581,0.99451,1.039,0.95426,0.92,0.95581,0.77465,0.73906,0.87223,1.09221,0.0003764,0.0003764,0.0003764
43,551.778,0.60484,0.8448,0.98315,0.95139,0.92,0.95239,0.79951,0.74466,0.87163,1.1021,0.0003368,0.0003368,0.0003368
44,564.061,0.63015,0.89081,1.0207,1,0.91363,0.95273,0.79647,0.74986,0.88272,1.08315,0.0002972,0.0002972,0.0002972
45,576.313,0.61648,0.84962,1.02166,0.95904,0.93693,0.98566,0.79367,0.68932,0.85948,1.00733,0.0002576,0.0002576,0.0002576
46,588.927,0.62465,0.8369,1.01496,0.95302,0.96,0.98353,0.77715,0.7081,0.85097,1.01047,0.000218,0.000218,0.000218
47,601.352,0.58733,0.83834,1.01122,0.95815,0.96,0.98246,0.77547,0.69329,0.84493,0.9969,0.0001784,0.0001784,0.0001784
48,613.982,0.56407,0.77369,0.96227,0.95989,0.95742,0.98591,0.77747,0.6855,0.82633,0.98248,0.0001388,0.0001388,0.0001388
49,626.527,0.5679,0.76419,0.94456,0.96135,0.99499,0.98885,0.79767,0.67177,0.78648,0.97396,9.92e-05,9.92e-05,9.92e-05
50,639.089,0.60733,0.83789,1.01301,1,0.99019,0.995,0.79672,0.64467,0.78055,0.95932,5.96e-05,5.96e-05,5.96e-05
